year,month,day,final_six_figure_odds,one_move_1_num,one_move_2_num,one_move_3_num,one_move_4_num,one_move_5_num,one_move_6_num,one_move_7_num,two_move_1_num,two_move_2_num,two_move_3_num,two_move_4_num,two_move_5_num,two_move_6_num,two_move_7_num
2024,8,9,745349,25,44,41,8,29,28,49,44,4,8,3,34,45,28
2024,1,9,253193,22,21,14,12,16,26,48,21,6,33,28,13,47,48
2024,21,8,359037,21,31,22,35,18,24,42,44,21,48,38,30,15,36
2024,25,8,114051,24,40,20,5,9,8,28,8,34,4,20,28,40,31
2024,30,8,688255,5,43,42,2,24,18,23,35,24,1,41,6,40,33
2024,6,9,556943,29,47,41,45,19,23,7,49,42,37,8,12,11,10
2024,4,9,760879,30,33,40,36,4,47,20,48,14,6,5,20,24,22
2024,28,8,791222,36,11,45,23,35,27,25,28,46,15,33,23,5,27
2024,23,8,61126,27,9,14,34,19,42,46,45,10,13,18,25,17,36
2024,18,8,153118,34,45,42,21,49,18,31,2,38,33,7,48,10,18
2024,16,8,873346,8,42,10,39,45,3,44,48,10,32,26,12,11,6
2024,14,8,334096,37,14,4,43,10,42,38,40,16,9,13,42,38,18
2024,9,8,89765,19,38,14,2,49,47,48,35,38,17,21,27,46,2
2024,11,8,168972,5,40,14,44,45,24,41,11,31,25,1,10,13,42
2024,7,8,994706,24,15,16,45,36,13,40,43,7,1,44,11,3,31
2024,4,8,271013,35,21,30,27,23,28,20,38,27,1,35,37,47,32
2021,19,5,479030,7,13,26,11,16,49,10,39,7,6,12,31,38,5
2023,27,8,728706,15,34,29,48,39,47,1,16,18,9,10,44,15,11
2021,5,5,151616,46,6,44,24,42,35,34,9,28,46,19,38,36,40
2021,21,4,221528,10,18,6,13,11,31,40,29,9,7,36,18,28,41
2021,18,4,840126,39,7,29,44,43,41,17,13,35,28,26,3,43,25
2021,23,4,993023,42,47,23,44,31,17,12,26,21,7,15,9,43,31
2021,28,4,796243,7,1,46,8,25,32,26,37,1,10,31,17,9,49
2021,2,5,462775,35,1,11,25,37,46,28,43,31,2,42,1,13,39
2021,30,4,640730,16,21,4,29,28,19,23,46,7,34,36,31,10,1
2021,16,4,89474,47,43,42,19,33,32,3,39,33,30,6,27,3,47
2021,25,4,254399,41,49,8,26,48,12,7,35,2,22,47,27,29,37
2020,20,11,950684,43,37,16,9,11,35,4,47,21,31,48,24,3,35
2020,27,11,858463,31,13,10,43,3,9,32,27,2,38,29,18,42,16
2020,25,11,436430,49,43,1,15,26,48,17,1,21,16,24,3,30,49
2020,2,12,361377,12,43,16,22,36,11,20,18,48,41,35,47,39,11
2020,4,12,951797,20,49,22,17,48,42,44,41,31,3,4,40,36,24
2020,22,11,572638,7,2,3,16,13,39,40,44,23,13,43,22,24,20
2020,29,4,569947,21,8,1,22,11,41,4,40,30,42,29,23,44,49
2020,6,12,937394,5,11,22,49,19,44,17,21,15,30,10,2,35,43
2020,12,4,357901,16,6,21,2,38,27,9,6,11,17,40,42,31,26
2020,29,11,54971,7,42,47,39,12,37,46,42,6,1,20,33,19,37
2020,3,5,462297,15,33,2,12,16,17,36,44,46,10,25,24,15,13
2020,19,4,526052,20,1,45,34,37,43,49,18,26,1,7,31,25,38
2020,26,4,783496,32,48,13,44,36,21,14,14,42,44,13,26,20,10
2020,15,4,639004,49,16,33,28,10,31,12,37,44,22,41,12,21,17
2020,22,4,446147,25,6,9,30,21,15,4,4,11,35,21,9,24,49
2020,10,4,229836,17,14,7,19,25,42,27,40,48,5,35,4,36,26
2019,20,12,840500,19,46,40,20,25,16,7,20,37,24,35,26,31,32
